"module","gene","EntrezGene.ID","Z-ESR1","Z-ERBB2","Z-AURKA","Z-survival","cytoband","alias","description"
,"MREG",55686,18.04,8.95,-3.05,-3.36,"2q35","DSU|FLJ10116|MGC90296|WDT2","melanoregulin"
,"TEGT",7009,18,12.21,0.33,-2.47,"12q12-q13","BI-1|TMBIM6","testis enhanced gene transcript (BAX inhibitor 1)"
,"CYB5R1",51706,18,6.44,-2.2,-0.51,"1p36.13-q41","B5R.1|NQO3A2|humb5R2","cytochrome b5 reductase 1"
,"RAB17",64284,17.99,8.94,-3.43,-2.25,"2q37.3","FLJ12538","RAB17, member RAS oncogene family"
,"ANKRA2",57763,17.96,0.64,-6.58,-2.22,"5q12-q13","ANKRA","ankyrin repeat, family A (RFXANK-like), 2"
,"RAB26",25837,17.96,9.68,3.74,0,"16p13.3","V46133","RAB26, member RAS oncogene family"
,"ZMYND10",51364,17.91,-0.15,-2.66,-3.35,"3p21.3","BLU|FLU","zinc finger, MYND-type containing 10"
,"RMND1",55005,17.87,1.51,6.73,-1.79,"6q25.1","3|C6orf96|FLJ20627|MGC117362|MGC149570|MGC88260|RMD1|bA351K16|bA351K16.3","required for meiotic nuclear division 1 homolog (S. cerevisiae)"
,"THRAP2",23389,17.85,-5.43,-4.98,-4.84,"12q24.21","DKFZp781D0112|FLJ21627|KIAA1025|MED13L|PROSIT240|TRAP240L","thyroid hormone receptor associated protein 2"
,"KCTD6",200845,17.82,1.89,1.39,-1.17,"3p14.3","MGC27385","potassium channel tetramerisation domain containing 6"
,"SCCPDH",51097,17.81,1.47,1.29,-2.16,"1q44","CGI-49|FLJ43187|RP11-439E19.2","saccharopine dehydrogenase (putative)"
,"CIRBP",1153,17.77,1.06,-15.62,-5.54,"19p13.3","CIRP","cold inducible RNA binding protein"
,"MAPT",4137,17.76,0.02,-3.8,-3.06,"17q21.1","DDPAC|FLJ31424|FTDP-17|MAPTL|MGC138549|MSTD|MTBT1|MTBT2|PPND|TAU","microtubule-associated protein tau"
,"SLC27A2",11001,17.75,-0.28,-0.2,-4.5,"15q21.2","ACSVL1|FACVL1|FATP2|HsT17226|VLACS|VLCS|hFACVL1","solute carrier family 27 (fatty acid transporter), member 2"
,"RNF103",7844,17.71,8.4,-4.44,-3.9,"2p11.2","KF1|MGC102815|MGC41857|ZFP103|hkf-1","ring finger protein 103"
,"SERPINA5",5104,17.68,0.53,1.48,-1.77,"14q32.1","PAI3|PCI|PLANH3|PROCI","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5"
,"PVRL2",5819,17.67,3.2,3.13,-2.23,"19q13.2","CD112|HVEB|PRR2|PVRR2","poliovirus receptor-related 2 (herpesvirus entry mediator B)"
,"RBKS",64080,17.58,-0.28,-2.84,-4.79,"2p23.3","DKFZp686G13268|RBSK","ribokinase"
,"FLJ20273",54502,17.58,11.08,-1.15,-3.42,"4p13-p12","DKFZp686F02235","RNA-binding protein"
,"TSPAN1",10103,17.57,9.24,-3.61,-1.09,"1p34.1","9030418M05Rik|NET-1|RP11-322N21.1|TSPAN-1","tetraspanin 1"
,"CLSTN2",64084,17.54,-3.25,-0.78,-2.01,"3q23-q24","CS2|CSTN2|FLJ39113|FLJ39499|MGC119560|alcagamma","calsyntenin 2"
,"POLR3K",51728,17.53,-1.97,11.42,-0.06,"16p13.3","C11|C11-RNP3|My010|RPC10|RPC11|hRPC11","polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"
,"GAMT",2593,17.5,3.66,-5.33,-2.9,"19p13.3","PIG2|TP53I2","guanidinoacetate N-methyltransferase"
,"FLJ21127",79600,17.5,0.06,-4.47,-2.9,"12q24.11","TECT1","tectonic"
,"IFT88",8100,17.47,0.67,-7.96,-3.84,"13q12.1","D13S1056E|MGC26259|RP11-172H24.2|TG737|TTC10|hTg737","intraflagellar transport 88 homolog (Chlamydomonas)"
,"HAGH",3029,17.37,1.67,8.9,0.58,"16p13.3","GLO2|GLX2|GLXII|HAGH1","hydroxyacylglutathione hydrolase"
,"CRIP1",1396,17.35,9.55,-0.54,-1.1,"14q32.33","CRHP|CRIP|CRP1","cysteine-rich protein 1 (intestinal)"
,"BCAS4",55653,17.33,4.44,7.63,0.76,"20q13.13","FLJ20495","breast carcinoma amplified sequence 4"
,"ELOVL2",54898,17.3,-4.3,0.53,-3.27,"6p24.2","FLJ20334|Ssc2","elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2"
,"NOVA1",4857,17.29,-3.95,-8.65,-3.11,"14q","Nova-1","neuro-oncological ventral antigen 1"
,"NPDC1",56654,17.27,9.15,-6.9,-1.03,"9q34.3","CAB|CAB-|CAB-1|CAB1|DKFZP586J0523","neural proliferation, differentiation and control, 1"
,"PTP4A2",8073,17.26,1.18,-3.78,-5.27,"1p35","HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b","protein tyrosine phosphatase type IVA, member 2"
,"PDZK1",5174,17.18,-3.98,-2.57,-4.19,"1q21","CAP70|CLAMP|PDZD1","PDZ domain containing 1"
,"FAM79B",285386,17.13,-2.52,-6.72,-3.83,"3q28","FLJ41238|FLJ43694|MGC126599|MGC126601","family with sequence similarity 79, member B"
,"PARD6B",84612,17.1,-4.04,7.99,-3.83,"20q13.13","PAR6B","par-6 partitioning defective 6 homolog beta (C. elegans)"
,"LRRC6",23639,17.09,-0.72,-2.53,-2.3,"8q24.22","LRTP|TSLRP","leucine rich repeat containing 6"
,"CCDC96",257236,17.08,4.29,-0.98,-2.6,"4p16.1","FLJ90575|MGC138479","coiled-coil domain containing 96"
,"ZNF587",84914,17.04,1.05,4.29,1.11,"19q13.43","FLJ14710|FLJ20813|ZF6","zinc finger protein 587"
,"AKR7A3",22977,17.03,6.62,-0.19,-3.47,"1p35.1-p36.23","AFAR2","aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)"
,"TMEM157",345757,17.03,3.37,-0.56,-1.98,"5q21.1","MGC17345|UNQ1912","transmembrane protein 157"
,"APBB2",323,16.99,3.81,-4.89,-1.59,"4p14-p13","FE65L|FE65L1|MGC35575","amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)"
,"CSAD",51380,16.97,1.7,-4.49,-0.98,"12q13.11-q14.3","CSD|MGC119354|MGC119355|MGC119357|PCAP","cysteine sulfinic acid decarboxylase"
,"RMND5B",64777,16.94,6.93,5.32,3.04,"5q35.3","DKFZp434K0926|FLJ22318","required for meiotic nuclear division 5 homolog B (S. cerevisiae)"
,"TMBIM4",51643,16.92,4.86,-6.49,-1.95,"12q14.1-q15","CGI-119|S1R|ZPRO","transmembrane BAX inhibitor motif containing 4"
,"IRX5",10265,16.89,7.75,1.35,-0.26,"16q11.2-q13","IRX-2a","iroquois homeobox protein 5"
,"SIGIRR",59307,16.87,5.48,2.74,-0.01,"11p15.5","MGC110992|TIR8","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain"
,"PHF15",23338,16.81,-4.05,-7.52,-4.45,"5q31.1","JADE2|KIAA0239","PHD finger protein 15"
,"FAM77C",79570,16.79,-1.44,8.56,-0.76,"1p35.2","FLJ12650","family with sequence similarity 77, member C"
,"CHMP2A",27243,16.78,6.41,3.21,-1.12,"19q","BC-2|BC2|CHMP2|VPS2","chromatin modifying protein 2A"
,"NDUFA2",4695,16.78,3.76,7.23,0.34,"5q31","B8|CD14","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa"
,"RALGPS1",9649,16.77,1,-2.33,-0.01,"9q33.3","KIAA0351|RALGEF2|RALGPS1A","Ral GEF with PH domain and SH3 binding motif 1"
,"EEF1A2",1917,16.76,4.15,7.28,0.99,"20q13.3","EEF1AL|EF-1-alpha-2|EF1A|HS1|STN","eukaryotic translation elongation factor 1 alpha 2"
,"NME5",8382,16.74,-3.1,-11.38,-5.22,"5q31","NM23-H5|NM23H5","non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)"
,"KCTD3",51133,16.74,1.68,-0.59,-1.44,"1q41","MGC43935|NY-REN-45","potassium channel tetramerisation domain containing 3"
,"CPEB2",132864,16.72,-0.42,-4.68,-3.25,"4p15.33","MGC119575|MGC119576|MGC119577","cytoplasmic polyadenylation element binding protein 2"
,"TUSC4",10641,16.69,1.48,0.66,-0.83,"3p21.3","NPR2L|NPRL2","tumor suppressor candidate 4"
,"MPP2",4355,16.65,-2.76,3.22,-1.42,"17q12-q21","DKFZp686A06252|DKFZp686J2189|DKFZp761D0712|DLG2","membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)"
,"VAV3",10451,16.59,8.99,-6.77,-4.94,"1p13.3","FLJ40431","vav 3 oncogene"
,"CHAD",1101,16.59,-1.05,-5.9,-5.79,"17q21.33","SLRR4A","chondroadherin"
,"PCTK2",5128,16.57,2.66,1.01,-1.85,"12q23.1","PCTAIRE2","PCTAIRE protein kinase 2"
,"TOB1",10140,16.55,11.41,5.62,-0.7,"17q21","APRO6|MGC104792|MGC34446|PIG49|TOB|TROB|TROB1","transducer of ERBB2, 1"
,"TMEM30B",161291,16.53,4.51,-3.69,-2.13,"14q23.1","CDC50B|MGC126775","transmembrane protein 30B"
,"SALL2",6297,16.47,0.28,-5.7,-3.51,"14q11.1-q12","FLJ10414|HSAL2|KIAA0360|ZNF795|p150(Sal2)","sal-like 2 (Drosophila)"
,"TTC8",123016,16.46,4.9,-1.18,-2.33,"14q31.3","BBS8","tetratricopeptide repeat domain 8"
,"WDR32",79269,16.44,-3.03,2.56,-1.99,"9p13.2","FLJ23201|MGC10765|MGC131781","WD repeat domain 32"
,"HMGCL",3155,16.44,-1.19,-5.89,-4.05,"1p36.1-p35","HL","3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)"
,"C12orf10",60314,16.41,2.39,0.37,-0.26,"12q13","MST024|MSTP024|MYG|MYG1","chromosome 12 open reading frame 10"
,"MCCC2",64087,16.4,8.68,1.07,-1.73,"5q12-q13","MCCB","methylcrotonoyl-Coenzyme A carboxylase 2 (beta)"
,"CISH",1154,16.37,8.17,-3.89,-2.76,"3p21.3","CIS|CIS-1|G18|SOCS","cytokine inducible SH2-containing protein"
,"IKBKB",3551,16.34,1.13,-4.91,-2.67,"8p11.2","FLJ40509|IKK-beta|IKK2|IKKB|MGC131801|NFKBIKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"
,"RARA",5914,16.3,13.81,2.16,-1.59,"17q21","NR1B1|RAR","retinoic acid receptor, alpha"
,"ADCY9",115,16.29,-4.58,1.67,0,"16p13.3","NA","adenylate cyclase 9"
,"C19orf21",126353,16.24,6.71,3.75,-0.36,"19p13.3","DKFZp686H18209","chromosome 19 open reading frame 21"
,"INPP4B",8821,16.23,7.03,-4.15,-3.55,"4q31.21","MGC132014","inositol polyphosphate-4-phosphatase, type II, 105kDa"
,"KIAA1370",56204,16.22,8.72,-8.07,-4.02,"15q21.2","FLJ10980|MGC126494|MGC126495","KIAA1370"
,"HSD17B4",3295,16.21,2.06,-6.09,-3.96,"5q21","MFE-2","hydroxysteroid (17-beta) dehydrogenase 4"
,"C1orf78",55194,16.18,1.98,-7.45,-3.75,"1p34.3","FLJ10647|RP11-268J15.2","chromosome 1 open reading frame 78"
,"QDPR",5860,16.11,-2.03,-7.07,-5.64,"4p15.31","DHPR|FLJ42391|PKU2","quinoid dihydropteridine reductase"
,"PIB5PA",27124,16.04,9.77,-6.39,-3.53,"22q11.2-q13.2","INPP5|MGC129984|PIPP","phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A"
