"module","EntrezGene.ID","HUGO.gene.symbol","agilent","affy","coefficient","NMSE"
,"2617","GARS","NM_002047","208693_s_at","-0.564193219","0.684354279"
,"3945","LDHB","NM_002300","201030_x_at","-0.555574851","0.685360876"
,"8382","NME5","NM_003551","206197_at","0.555210673","0.689486281"
,"10614","HEXIM1","NM_006460","202815_s_at","0.5516074","0.690267345"
,"9633","MTL5","NM_004923","219786_at","0.561763365","0.692112214"
,"2568","GABRP","NM_014211","205044_at","-0.558835211","0.693312003"
,"23324","MAN2B2","AB023152","214703_s_at","0.555058606","0.693977059"
,"55765","C1orf106","NM_018265","219010_at","-0.541800035","0.695474669"
,"5104","SERPINA5","J02639","209443_at","0.552615794","0.696714554"
,"5174","PDZK1","NM_002614","205380_at","0.546051055","0.697188944"
,"56674","TMEM9B","Contig1462_RC","218065_s_at","0.528127412","0.698235582"
,"1054","CEBPG","NM_001806","204203_at","-0.553145812","0.698369112"
,"9120","SLC16A6","NM_004694","207038_at","0.548877174","0.701189497"
,"79641","ROGDI","Contig292_RC","218394_at","0.54629249","0.701533185"
,"23303","KIF13B","AF279865","202962_at","0.541898896","0.702905771"
,"2173","FABP7","NM_001446","205029_s_at","-0.52941225","0.703037328"
,"23171","GPD1L","D42047","212510_at","0.544914666","0.705950088"
,"9674","KIAA0040","NM_014656","203143_s_at","0.532088271","0.708978452"
,"27134","TJP3","NM_014428","213412_at","0.542775525","0.710067869"
,"79921","TCEAL4","Contig3659_RC","202371_at","0.541970152","0.710331465"
,"54898","ELOVL2","AL080199","213712_at","0.52925655","0.710508034"
,"1345","COX6C","NM_004374","201754_at","0.539941313","0.710572245"
,"5937","RBMS1","NM_016839","207266_x_at","-0.539744359","0.711344043"
,"400451","NA","AL110139","51158_at","0.537420183","0.716062616"
,"3898","LAD1","NM_005558","203287_at","-0.53550815","0.716693669"
,"2530","FUT8","NM_004480","203988_s_at","0.505530007","0.718532442"
,"51306","C5orf5","NM_016603","218518_at","0.528812601","0.719378071"
,"25837","RAB26","NM_014353","219562_at","0.526164961","0.719523191"
,"10982","MAPRE2","X94232","202501_at","-0.519382303","0.721044346"
,"1632","DCI","NM_001919","209759_s_at","0.5213171","0.721375708"
,"7905","REEP5","M73547","208873_s_at","0.525130991","0.725825747"
,"1101","CHAD","NM_001267","206869_at","0.526770704","0.726408365"
,"323","APBB2","U62325","213419_at","0.507242904","0.729583221"
,"28958","CCDC56","NM_014019","218026_at","0.523641457","0.729997843"
,"1476","CSTB","NM_000100","201201_at","-0.522285278","0.730310348"
,"9435","CHST2","NM_004267","203921_at","-0.523967096","0.730941092"
,"7371","UCK2","NM_012474","209825_s_at","-0.517091493","0.733658287"
,"2737","GLI3","NM_000168","205201_at","0.521494671","0.733707267"
,"8685","MARCO","NM_006770","205819_at","-0.518384992","0.73371596"
,"3295","HSD17B4","NM_000414","201413_at","0.49793269","0.738043938"
,"11013","TMSL8","D82345","205347_s_at","-0.482438149","0.738461069"
,"51604","PIGT","NM_015937","217770_at","0.514231244","0.738548025"
,"6663","SOX10","NM_006941","209842_at","-0.52250076","0.739074324"
,"85377","MICALL1","Contig55538_RC","221779_at","-0.516534624","0.739527411"
,"58495","OVOL2","AL079276","211778_s_at","0.509854248","0.740100478"
,"1116","CHI3L1","NM_001276","209395_at","-0.507525399","0.741531574"
,"11001","SLC27A2","NM_003645","205768_s_at","0.504487267","0.743254132"
,"25841","ABTB2","AL050374","213497_at","-0.501523194","0.744291557"
,"64080","RBKS","Contig54394_RC","57540_at","0.501098938","0.744631881"
,"375035","SFT2D2","AL035297","214838_at","-0.488881676","0.745192165"
,"10479","SLC9A6","NM_006359","203909_at","-0.462185271","0.746780768"
,"5002","SLC22A18","NM_002555","204981_at","0.498450997","0.747634385"
,"8645","KCNK5","NM_003740","219615_s_at","-0.506765409","0.748157343"
,"79885","HDAC11","AL137362","219847_at","0.503640516","0.748262024"
,"11254","SLC6A14","NM_007231","219795_at","-0.467936555","0.748739207"
,"122616","C14orf79","AF038188","213512_at","0.508580125","0.749420609"
,"79650","C16orf57","Contig56298_RC","218060_s_at","-0.512700389","0.749551419"
,"23321","TRIM2","AB011089","202341_s_at","-0.505107124","0.749962222"
,"23327","NEDD4L","AB007899","212448_at","0.502371307","0.750281297"
,"22977","AKR7A3","NM_012067","206469_x_at","0.49969396","0.750370918"
,"8581","LY6D","X82693","206276_at","-0.49652701","0.750473705"
,"8842","PROM1","NM_006017","204304_s_at","-0.498737789","0.750894641"
,"4953","ODC1","NM_002539","200790_at","-0.500178621","0.752229895"
,"55544","RBM38","X75315","212430_at","-0.485230945","0.752354883"
,"55663","ZNF446","NM_017908","219900_s_at","0.502643541","0.752376668"
,"27124","PIB5PA","U45975","213651_at","0.493911581","0.753414597"
,"6715","SRD5A1","NM_001047","211056_s_at","-0.497874636","0.756655029"
,"51809","GALNT7","NM_017423","218313_s_at","0.491503578","0.757011056"
,"89927","C16orf45","Contig1239_RC","212736_at","0.491495819","0.757310477"
,"1827","DSCR1","NM_004414","208370_s_at","-0.453183431","0.757687519"
,"51706","CYB5R1","NM_016243","202263_at","0.480014471","0.75876488"
,"3383","ICAM1","NM_000201","202638_s_at","-0.4921546","0.759111299"
,"5806","PTX3","NM_002852","206157_at","-0.500954063","0.759263083"
,"9501","RPH3AL","NM_006987","221614_s_at","0.489345723","0.759692293"
,"3613","IMPA2","NM_014214","203126_at","-0.492711141","0.759753232"
,"7568","ZNF20","AL080125","213916_at","0.474191523","0.760393024"
,"6280","S100A9","NM_002965","203535_at","-0.48574767","0.761593701"
,"22929","SEPHS1","NM_012247","208941_s_at","-0.490312243","0.762710604"
,"81563","C1orf21","Contig56307","221272_s_at","0.48956231","0.762763451"
,"1389","CREBL2","NM_001310","201990_s_at","0.468866383","0.764274897"
,"1410","CRYAB","NM_001885","209283_at","-0.490714984","0.764626005"
,"10884","MRPS30","NM_016640","218398_at","0.479596064","0.765432562"
,"55614","C20orf23","AK000142","219570_at","0.486726442","0.765836231"
,"1824","DSC2","Contig49790_RC","204750_s_at","-0.488782239","0.765994757"
,"7851","MALL","U17077","209373_at","-0.489055172","0.766316309"
,"2743","GLRB","NM_000824","205280_at","0.480525648","0.766572036"
,"427","ASAH1","NM_004315","210980_s_at","0.474147175","0.766857518"
,"5241","PGR","NM_000926","208305_at","0.507968301","0.767931467"
,"51364","ZMYND10","NM_015896","205714_s_at","0.465885335","0.768320131"
,"6926","TBX3","NM_016569","219682_s_at","0.467758204","0.768972653"
,"5193","PEX12","NM_000286","205094_at","0.465534987","0.771299562"
,"8531","CSDA","NM_003651","201161_s_at","-0.483794364","0.771700739"
,"23","ABCF1","AF027302","200045_at","-0.459417667","0.771727802"
,"7545","ZIC1","NM_003412","206373_at","-0.479733538","0.77245107"
,"819","CAMLG","NM_001745","203538_at","0.470697705","0.772933304"
,"2947","GSTM3","NM_000849","202554_s_at","0.477492539","0.773863567"
,"5825","ABCD3","NM_002858","202850_at","0.478558366","0.774199051"
,"5860","QDPR","NM_000320","209123_at","0.466880459","0.77694304"
,"59342","SCPEP1","Contig51742_RC","218217_at","-0.465390616","0.777429767"
,"51806","CALML5","NM_017422","220414_at","-0.436926611","0.777841349"
,"79603","LASS4","Contig55127_RC","218922_s_at","0.44467496","0.780061636"
,"21","ABCA3","NM_001089","204343_at","0.476768516","0.780354714"
,"54847","SIDT1","NM_017699","219734_at","0.457175309","0.78051878"
,"8537","BCAS1","NM_003657","204378_at","0.471260926","0.781068878"
,"10874","NMU","NM_006681","206023_at","-0.408795522","0.782327854"
,"54149","C21orf91","NM_017447","220941_s_at","-0.457411333","0.782940362"
,"9929","JOSD1","NM_014876","201751_at","-0.458786238","0.785508213"
,"5317","PKP1","NM_000299","221854_at","-0.475740475","0.785750041"
,"7388","UQCRH","NM_006004","202233_s_at","-0.463340115","0.786324045"
,"64764","CREB3L2","AL080209","212345_s_at","-0.448881541","0.78771472"
,"10127","ZNF263","NM_005741","203707_at","0.459983171","0.78860236"
,"80347","COASY","U18919","201913_s_at","0.441985485","0.788930057"
,"126353","C19orf21","Contig53480_RC","212925_at","0.448608295","0.789172076"
,"50865","HEBP1","NM_015987","218450_at","0.446561227","0.790515478"
,"54812","AFTPH","Contig44143","217939_s_at","0.455170453","0.791035737"
,"64087","MCCC2","AL079298","209624_s_at","0.462857334","0.792137211"
,"8884","SLC5A6","AL096737","204087_s_at","-0.439829082","0.793363126"
,"5269","SERPINB6","S69272","211474_s_at","0.46113414","0.793737295"
,"4321","MMP12","NM_002426","204580_at","-0.440265646","0.793907251"
,"8190","MIA","NM_006533","206560_s_at","-0.429561643","0.794003971"
,"6769","STAC","NM_003149","205743_at","-0.461544149","0.794035744"
,"51368","TEX264","NM_015926","218548_x_at","0.435409448","0.794574725"
,"23541","SEC14L2","NM_012429","204541_at","0.449863872","0.795691113"
,"9185","REPS2","NM_004726","205645_at","0.442965761","0.796203486"
,"185","AGTR1","NM_000685","205357_s_at","0.448719626","0.796491882"
,"7368","UGT8","NM_003360","208358_s_at","-0.47320635","0.797181557"
,"399665","FAM102A","AL049365","212400_at","0.426089803","0.797887209"
,"12","SERPINA3","NM_001085","202376_at","0.430128647","0.798346485"
,"55975","KLHL7","NM_018846","220238_s_at","-0.447153122","0.799331759"
,"25864","ABHD14A","AL050015","210006_at","0.431227602","0.799391044"
,"4851","NOTCH1","NM_017617","218902_at","-0.446280238","0.800453543"
,"9091","PIGQ","NM_004204","204144_s_at","0.448022351","0.800799077"
,"1299","COL9A3","NM_001853","204724_s_at","-0.434531561","0.801359118"
,"2800","GOLGA1","NM_002077","203384_s_at","0.432417726","0.801979288"
,"8326","FZD9","NM_003508","207639_at","-0.465712988","0.802324839"
,"6376","CX3CL1","NM_002996","203687_at","-0.446476272","0.802408813"
,"8399","PLA2G10","NM_003561","207222_at","0.441846629","0.802595278"
,"5327","PLAT","NM_000931","201860_s_at","0.446276147","0.802779242"
,"22885","ABLIM3","NM_014945","205730_s_at","0.446223817","0.803580219"
,"11094","C9orf7","NM_017586","219223_at","0.438954737","0.803900187"
,"5321","PLA2G4A","M68874","210145_at","-0.424165225","0.80390189"
,"57348","TTYH1","NM_020659","219415_at","-0.451652744","0.805615356"
,"6787","NEK4","NM_003157","204634_at","0.438354592","0.807293759"
,"123872","LRRC50","AL137334","222068_s_at","0.423132817","0.808146112"
,"10421","CD2BP2","NM_006110","202257_s_at","0.438472091","0.809185652"
,"5971","RELB","NM_006509","205205_at","-0.420584745","0.810752119"
,"6833","ABCC8","NM_000352","210246_s_at","0.43299799","0.811094072"
,"11122","PTPRT","NM_007050","205948_at","0.441958947","0.811634327"
,"23650","TRIM29","NM_012101","211002_s_at","-0.411539037","0.812560427"
,"79629","OCEL1","Contig49281_RC","205441_at","0.402331924","0.812866251"
,"8722","CTSF","NM_003793","203657_s_at","0.436109995","0.813444547"
,"57110","HRASLS","NM_020386","219984_s_at","-0.430404677","0.813917579"
,"6697","SPR","NM_003124","203458_at","0.374042555","0.815469964"
,"2919","CXCL1","NM_001511","204470_at","-0.431039144","0.815720462"
,"27250","PDCD4","AL049932","212593_s_at","0.42229844","0.815720916"
,"23245","ASTN2","AB014534","215407_s_at","0.432272945","0.81655549"
,"10265","IRX5","NM_005853","210239_at","0.444238765","0.816746883"
,"2824","GPM6B","Contig448_RC","209170_s_at","-0.427597926","0.8168277"
,"10644","IGF2BP2","NM_006548","218847_at","-0.401374475","0.817753304"
,"7436","VLDLR","NM_003383","209822_s_at","-0.410161498","0.81824919"
,"25825","BACE2","NM_012105","217867_x_at","-0.429612482","0.818674706"
,"10827","C5orf3","NM_018691","218588_s_at","0.427773891","0.819304526"
,"4828","NMB","M21551","205204_at","-0.426745009","0.820247788"
,"6720","SREBF1","NM_004176","202308_at","0.417450053","0.820708855"
,"10477","UBE2E3","NM_006357","210024_s_at","-0.42413489","0.822164226"
,"3066","HDAC2","NM_001527","201833_at","-0.425271417","0.822454328"
,"55224","ETNK2","NM_018208","219268_at","0.400594749","0.823435185"
,"875","CBS","NM_000071","212816_s_at","-0.363571667","0.823556622"
,"3872","KRT17","NM_000422","205157_s_at","-0.397957678","0.82378018"
,"753","C18orf1","NM_004338","207996_s_at","0.423862631","0.823845166"
,"136","ADORA2B","NM_000676","205891_at","-0.423063611","0.823856862"
,"2013","EMP2","NM_001424","204975_at","0.421077857","0.824624291"
,"1917","EEF1A2","NM_001958","204540_at","0.430874995","0.825239707"
,"3576","IL8","NM_000584","202859_x_at","-0.422638001","0.825795247"
,"419","ART3","NM_001179","210147_at","-0.433044149","0.825917814"
,"55650","PIGV","NM_017837","51146_at","0.420582519","0.826931805"
,"23107","MRPS27","D87453","212145_at","0.406366641","0.826940683"
,"25818","KLK5","NM_012427","222242_s_at","-0.413404194","0.827115168"
,"8309","ACOX2","NM_003500","205364_at","0.408316599","0.827876009"
,"1047","CLGN","NM_004362","205830_at","0.369392157","0.82901223"
,"10002","NR2E3","NM_014249","208388_at","0.407775212","0.830043531"
,"60487","TRMT11","Contig54010_RC","218877_s_at","-0.405661423","0.830431941"
,"10656","KHDRBS3","NM_006558","209781_s_at","-0.403404082","0.831344622"
,"55240","STEAP3","NM_018234","218424_s_at","-0.414662946","0.83324228"
,"3315","HSPB1","NM_001540","201841_s_at","0.406168651","0.834031319"
,"10273","STUB1","NM_005861","217934_x_at","0.413376875","0.834700244"
,"2171","FABP5","NM_001444","202345_s_at","-0.412190443","0.835111923"
,"55184","C20orf12","NM_018152","219951_s_at","0.39674387","0.835120573"
,"5783","PTPN13","NM_006264","204201_s_at","0.392109759","0.835383296"
,"1877","E4F1","NM_004424","218524_at","0.400337951","0.83577919"
,"11098","PRSS23","NM_007173","202458_at","0.408630816","0.836021917"
,"10202","DHRS2","NM_005794","214079_at","0.394698247","0.836221587"
,"80223","RAB11FIP1","Contig1682_RC","219681_s_at","0.409041709","0.836355265"
,"79627","OGFRL1","Contig39960_RC","219582_at","-0.411475888","0.836715105"
,"6948","TCN2","NM_000355","204043_at","-0.401648185","0.836747162"
,"3097","HIVEP2","NM_006734","212641_at","-0.403644465","0.838742793"
,"8985","PLOD3","NM_001084","202185_at","-0.40629339","0.83937633"
,"3892","KRT86","X99142","215189_at","-0.408987833","0.839394877"
,"10575","CCT4","NM_006430","200877_at","-0.40322219","0.839667184"
,"51004","COQ6","NM_015940","218760_at","0.40443291","0.839743802"
,"4071","TM4SF1","M90657","215034_s_at","-0.4024996","0.839926234"
,"1718","DHCR24","D13643","200862_at","0.380176977","0.839949625"
,"1381","CRABP1","NM_004378","205350_at","-0.404290272","0.8409904"
,"9368","SLC9A3R1","NM_004252","201349_at","0.405852497","0.841380916"
,"92104","TTC30A","AL049329","213679_at","0.403451511","0.841551015"
,"9518","GDF15","NM_004864","221577_x_at","0.402707288","0.841948716"
,"6364","CCL20","NM_004591","205476_at","-0.363194719","0.842019711"
,"3306","HSPA2","U56725","211538_s_at","0.395674599","0.842245746"
,"79605","PGBD5","Contig53598_RC","219225_at","-0.407055836","0.84277541"
,"23336","DMN","AB002351","212730_at","-0.390343621","0.843586584"
,"1356","CP","NM_000096","204846_at","-0.404043367","0.843884436"
,"54619","CCNJ","NM_019084","219470_x_at","-0.381117497","0.844401655"
,"9200","PTPLA","NM_014241","219654_at","-0.39972249","0.844778941"
,"51302","CYP39A1","NM_016593","220432_s_at","-0.33695618","0.844975117"
,"5191","PEX7","NM_000288","205420_at","0.396991099","0.845179405"
,"706","TSPO","NM_007311","202096_s_at","-0.391698447","0.845341528"
,"7159","TP53BP2","NM_005426","203120_at","-0.395726104","0.845767077"
,"55218","EXDL2","NM_018199","218363_at","0.401498328","0.846250153"
,"79669","C3orf52","Contig53814_RC","219474_at","0.388442276","0.846776039"
,"10140","TOB1","NM_005749","202704_at","0.367622466","0.84725245"
,"11226","GALNT6","Contig49342_RC","219956_at","0.395283101","0.847253692"
,"6652","SORD","NM_003104","201563_at","0.394652204","0.847767541"
,"3418","IDH2","NM_002168","210046_s_at","-0.400139137","0.847804159"
,"10200","MPHOSPH6","NM_005792","203740_at","-0.395547529","0.848141674"
,"7345","UCHL1","NM_004181","201387_s_at","-0.376791945","0.84953539"
,"6564","SLC15A1","NM_005073","207254_at","-0.343183471","0.850903361"
,"54458","PRR13","NM_018457","217794_at","0.392279425","0.850920162"
,"51103","NDUFAF1","NM_016013","204125_at","0.353122452","0.85105789"
,"11042","NA","NM_006780","215043_s_at","0.388381527","0.851937806"
,"10040","TOM1L1","NM_005486","204485_s_at","0.382624539","0.852751814"
,"1117","CHI3L2","U49835","213060_s_at","-0.37689236","0.853033349"
,"112398","EGLN2","NM_017555","220956_s_at","0.392095205","0.853446237"
,"9258","MFHAS1","NM_004225","213457_at","-0.324471403","0.85362056"
,"374","AREG","NM_001657","205239_at","0.375610148","0.854146851"
,"2982","GUCY1A3","NM_000856","221942_s_at","-0.38254572","0.854163644"
,"688","KLF5","NM_001730","209211_at","-0.391133423","0.854558871"
,"1960","EGR3","NM_004430","206115_at","0.373008187","0.85611316"
,"7993","UBXD6","NM_005671","215983_s_at","0.382878926","0.856242287"
,"25823","TPSG1","NM_012467","220339_s_at","0.373878408","0.856591509"
,"4485","MST1","L11924","205614_x_at","0.357450422","0.857946991"
,"23528","ZNF281","NM_012482","218401_s_at","0.379127283","0.858339794"
,"1672","DEFB1","NM_005218","210397_at","-0.39076646","0.858685673"
,"28960","DCPS","NM_014026","218774_at","-0.382677173","0.858774643"
,"5268","SERPINB5","NM_002639","204855_at","-0.358027325","0.859249445"
,"934","CD24","NM_013230","209772_s_at","-0.362829512","0.86062728"
,"55450","CAMK2N1","NM_018584","218309_at","0.370660238","0.860945792"
,"6261","RYR1","NM_000540","205485_at","-0.350828555","0.861340834"
,"2627","GATA6","NM_005257","210002_at","-0.370813466","0.862200066"
,"57180","ACTR3B","NM_020445","218868_at","-0.386597593","0.862506996"
,"4036","LRP2","NM_004525","205710_at","0.350254766","0.86266905"
,"29116","MYLIP","NM_013262","220319_s_at","0.373793594","0.862681243"
,"57211","GPR126","AL080079","213094_at","-0.37693751","0.862687147"
,"4435","CITED1","NM_004143","207144_s_at","0.375304645","0.862985246"
,"54913","RPP25","NM_017793","219143_s_at","-0.372371912","0.86390199"
,"9982","FGFBP1","NM_005130","205014_at","-0.330162678","0.864260466"
,"11170","FAM107A","NM_007177","209074_s_at","-0.359018034","0.864884193"
,"3294","HSD17B2","NM_002153","204818_at","-0.382708051","0.866150203"
,"6583","SLC22A4","NM_003059","205896_at","0.323184257","0.866415185"
,"79170","ATAD4","Contig61975","219127_at","0.373271428","0.867669413"
,"79745","CLIP4","Contig48631","219944_at","-0.278362218","0.86848439"
,"2813","GP2","NM_016295","214324_at","0.346238895","0.868853586"
,"6723","SRM","NM_003132","201516_at","-0.345786203","0.870266606"
,"1360","CPB1","NM_001871","205509_at","0.346493776","0.871724386"
,"5016","OVGP1","NM_002557","205432_at","0.340204667","0.872087776"
,"5271","SERPINB8","NM_002640","206034_at","-0.358083946","0.872952965"
,"347902","AMIGO2","Contig49079_RC","222108_at","0.36104055","0.87334578"
,"79719","NA","Contig57044_RC","202851_at","0.364020628","0.874136088"
,"55258","NA","NM_018271","219044_at","0.358273868","0.874179008"
,"8563","THOC5","NM_003678","209418_s_at","-0.357245363","0.874354782"
,"83464","APH1B","Contig53314_RC","221036_s_at","0.38272656","0.874569471"
,"23532","PRAME","NM_006115","204086_at","-0.351891883","0.87568013"
,"6834","SURF1","NM_003172","204295_at","0.360498545","0.876816575"
,"6019","RLN2","NM_005059","214519_s_at","0.340131262","0.877580596"
,"214","ALCAM","NM_001627","201951_at","0.357195699","0.878486882"
,"55333","SYNJ2BP","NM_018373","219156_at","0.354152982","0.878595717"
,"10525","HYOU1","NM_006389","200825_s_at","-0.353899171","0.879309158"
,"2232","FDXR","NM_004110","207813_s_at","0.357851956","0.88094545"
,"274","BIN1","NM_004305","210202_s_at","-0.362009334","0.8810547"
,"10307","APBB3","NM_006051","204650_s_at","0.346101202","0.882638244"
,"8986","RPS6KA4","NM_003942","204632_at","-0.338104769","0.882825424"
,"56938","ARNTL2","NM_020183","220658_s_at","-0.354426834","0.883130457"
,"9510","ADAMTS1","NM_006988","222162_s_at","-0.317140809","0.883576407"
,"2770","GNAI1","NM_002069","209576_at","-0.340211122","0.883662467"
,"4350","MPG","NM_002434","203686_at","0.341676941","0.884004809"
,"863","CBFA2T3","NM_005187","208056_s_at","0.344392794","0.884416124"
,"2891","GRIA2","NM_000826","205358_at","0.325402619","0.884813944"
,"10309","UNG2","X52486","210021_s_at","0.340406908","0.884921127"
,"7037","TFRC","NM_003234","207332_s_at","-0.336533681","0.884923454"
,"3574","IL7","NM_000880","206693_at","-0.343890767","0.885221043"
,"55293","UEVLD","NM_018314","220775_s_at","0.344688842","0.885938381"
,"27165","GLS2","NM_013267","205531_s_at","0.254837341","0.886441129"
,"55188","RIC8B","NM_018157","219446_at","0.342486332","0.887434273"
,"11202","KLK8","NM_007196","206125_s_at","-0.359987052","0.887541757"
,"51181","DCXR","NM_016286","217973_at","0.299804251","0.88771423"
,"827","CAPN6","NM_014289","202965_s_at","-0.328961335","0.888075448"
,"390","RND3","Contig3682_RC","212724_at","-0.335330467","0.888607585"
,"54438","GFOD1","NM_018988","219821_s_at","-0.337758297","0.889053494"
,"10079","ATP9A","AB014511","212062_at","0.328282857","0.889255142"
,"4285","MIPEP","NM_005932","36830_at","0.356463366","0.889469146"
,"8324","FZD7","NM_003507","203706_s_at","-0.33206439","0.889884855"
,"9052","GPRC5A","NM_003979","203108_at","0.346433922","0.890040223"
,"9508","ADAMTS3","AB002364","214913_at","-0.291951865","0.890309433"
,"10519","CIB1","NM_006384","201953_at","0.318187791","0.890742687"
,"7138","TNNT1","NM_003283","213201_s_at","0.331611482","0.891033522"
,"51735","RAPGEF6","NM_016340","219112_at","0.326267887","0.89116631"
,"54970","TTC12","NM_017868","219587_at","0.291552597","0.891346796"
,"2591","GALNT3","NM_004482","203397_s_at","-0.342421723","0.891358691"
,"2348","FOLR1","NM_000802","204437_s_at","-0.327278348","0.891730283"
,"2954","GSTZ1","NM_001513","209531_at","0.334740431","0.891823109"
,"23318","ZCCHC11","D83776","212704_at","-0.287446901","0.891980859"
,"10267","RAMP1","NM_005855","204916_at","0.331220193","0.892185659"
,"25984","KRT23","NM_015515","218963_s_at","-0.337728711","0.89242928"
,"6496","SIX3","NM_005413","206634_at","-0.264582596","0.892787299"
,"786","CACNG1","NM_000727","206612_at","0.325288477","0.893132764"
,"22976","PAXIP1","U80735","212825_at","0.314975901","0.893439408"
,"283232","TMEM80","Contig52603_RC","221951_at","0.334733545","0.894635943"
,"629","CFB","NM_001710","202357_s_at","0.325947876","0.895246912"
,"7286","TUFT1","NM_020127","205807_s_at","0.324287679","0.8957374"
,"5562","PRKAA1","NM_006251","209799_at","-0.272482663","0.897249406"
,"9851","KIAA0753","NM_014804","204711_at","0.33776741","0.897696217"
,"79622","C16orf33","Contig52526_RC","218493_at","0.313083514","0.898920401"
,"55316","RSAD1","NM_018346","218307_at","0.329901495","0.898981065"
,"6271","S100A1","NM_006271","205334_at","-0.325195431","0.899120454"
,"55859","BEX1","NM_018476","218332_at","0.315589822","0.899579486"
,"3595","IL12RB2","NM_001559","206999_at","-0.344678943","0.900222341"
,"5100","PCDH8","NM_002590","206935_at","-0.355195666","0.900356755"
,"2861","GPR37","NM_005302","209631_s_at","-0.315629416","0.902920283"
,"26278","SACS","NM_014363","213262_at","-0.29589301","0.903024533"
,"55506","H2AFY2","NM_018649","218445_at","-0.314880763","0.904286521"
,"64215","DNAJC1","Contig3538_RC","218409_s_at","0.309391077","0.904704283"
,"3096","HIVEP1","NM_002114","204512_at","-0.30420168","0.905214361"
,"23059","CLUAP1","AB014543","204577_s_at","0.308081913","0.905659063"
